PID,TX,RX,END,SIZE,START,ENDTOEND
856,8,9,280649035,520,198623530,248.649035
1818,0,1,78271000,520,64000000,248.649035
1818,1,3,147542000,520,78271000,248.649035
1818,3,4,214590177,520,147542000,248.649035
1818,4,8,230623530,520,214590177,248.649035
1818,8,9,312649035,520,230623530,248.649035
2798,0,1,110271000,520,96000000,248.649035
2798,1,3,179542000,520,110271000,248.649035
2798,3,4,246590177,520,179542000,248.649035
2798,4,8,262623530,520,246590177,248.649035
2798,8,9,344649035,520,262623530,248.649035
3779,0,1,142271000,520,128000000,248.649035
3779,1,3,211566416,520,142271000,248.673451
3779,3,4,278614593,520,211566416,248.673451
3779,4,8,294647946,520,278614593,248.673451
3779,8,9,376673451,520,294647946,248.673451
4771,0,1,174271000,520,160000000,248.673451
4771,1,3,243542000,520,174271000,248.649035
4771,3,4,310590177,520,243542000,248.649035
4771,4,8,326623530,520,310590177,248.649035
4771,8,9,408649035,520,326623530,248.649035
5786,0,1,206271000,520,192000000,248.649035
5786,1,3,275542000,520,206271000,248.649035
5786,3,4,342590177,520,275542000,248.649035
5786,4,8,358623530,520,342590177,248.649035
5786,8,9,440649035,520,358623530,248.649035
6808,0,1,238271000,520,224000000,248.649035
6808,1,3,307542000,520,238271000,248.649035
6808,3,4,374590177,520,307542000,248.649035
6808,4,8,390623530,520,374590177,248.649035
6808,8,9,472649035,520,390623530,248.649035
7604,0,1,262096580,36,248090781,248.383834
7604,1,3,331108180,36,262096580,248.124434
7604,3,4,398113335,36,331108180,248.081412
7604,4,8,414116904,36,398113335,248.051628
7604,8,9,496119633,36,414116904,248.028852
7831,0,1,270271000,520,256000000,248.294053
7831,1,3,339542000,520,270271000,248.553453
7831,3,4,406590177,520,339542000,248.596475
7831,4,8,422623530,520,406590177,248.626259
7831,8,9,504649035,520,422623530,248.649035
8855,0,1,302271000,520,288000000,248.649035
8855,1,3,371650400,520,302271000,248.757435
8855,3,4,438733282,520,371650400,248.79214
8855,4,8,454766635,520,438733282,248.79214
8855,8,9,536792140,520,454766635,248.79214
9867,0,1,334271000,520,320000000,248.79214
9867,1,3,403542000,520,334271000,248.68374
9867,3,4,470590177,520,403542000,248.649035
9867,4,8,486623530,520,470590177,248.649035
9867,8,9,568649035,520,486623530,248.649035
10924,0,1,366271000,520,352000000,248.649035
10924,1,3,435557500,520,366271000,248.664535
10924,3,4,502605677,520,435557500,248.664535
10924,4,8,518639030,520,502605677,248.664535
10924,8,9,600664535,520,518639030,248.664535
11951,0,1,398271000,520,384000000,248.664535
11951,1,3,467542000,520,398271000,248.649035
11951,3,4,534590177,520,467542000,248.649035
11951,4,8,550623530,520,534590177,248.649035
11951,8,9,632649035,520,550623530,248.649035
12987,0,1,430271000,520,416000000,248.649035
12987,1,3,499542000,520,430271000,248.649035
12987,3,4,566608354,520,499542000,248.667212
12987,4,8,582641707,520,566608354,248.667212
12987,8,9,664667212,520,582641707,248.667212
14025,0,1,462271000,520,448000000,248.667212
14025,1,3,531650400,520,462271000,248.775612
14025,3,4,598698577,520,531650400,248.757435
14025,4,8,614731930,520,598698577,248.757435
14025,8,9,696757435,520,614731930,248.757435
15072,0,1,494271000,520,480000000,248.757435
15072,1,3,563542000,520,494271000,248.649035
15072,3,4,630590177,520,563542000,248.649035
15072,4,8,646623530,520,630590177,248.649035
15072,8,9,728649035,520,646623530,248.649035
16156,0,1,526271000,520,512000000,248.649035
16156,1,3,595650400,520,526271000,248.757435
16156,3,4,662698577,520,595650400,248.757435
16156,4,8,678731930,520,662698577,248.757435
16156,8,9,760757435,520,678731930,248.757435
17219,0,1,558271000,520,544000000,248.757435
17219,1,3,627542000,520,558271000,248.649035
17219,3,4,694590177,520,627542000,248.649035
17219,4,8,710623530,520,694590177,248.649035
17219,8,9,792649035,520,710623530,248.649035
